GeoFips,GeoName,LineCode,Description,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1000,Alabama,1,All industry total,193981.5,197064.4,203113.3,208824.3,216615.5,226263.8,234798.2,235325.3,260018.4,284949.1,304935.6,321237.6
1000,Alabama,2,  Private industries,161775.7,163960.3,169162.6,174126.1,180865.6,189449.6,196752.2,195627.2,218867.1,241149.3,258435.6,271937
1000,Alabama,3,"    Agriculture, forestry, fishing and hunting",3072.9,2624.4,2673.6,2065.9,2430.4,2484.5,2052.4,1606.5,2843.4,4151.7,3165.4,4245.3
1000,Alabama,4,      Farms,2539.9,2043.5,2063.9,1435.5,1802.7,1811.6,1357.2,868.9,2154.6,3446.5,2386.9,(NA)
1000,Alabama,5,"      Forestry, fishing, and related activities",533,581,609.7,630.4,627.7,672.9,695.2,737.6,688.8,705.1,778.5,(NA)
1000,Alabama,6,"    Mining, quarrying, and oil and gas extraction",2562.7,2082.5,1422.3,1352.9,1950,1939.8,1786.3,1529.7,1927.3,2911.4,2558,2384.2
1000,Alabama,7,      Oil and gas extraction,718.7,654.2,328.6,392.9,433.8,380.9,276.6,159.3,334.5,429.2,267.3,(NA)
1000,Alabama,8,      Mining (except oil and gas),1723.1,1295.7,997.1,899.4,1430.1,1456,1414.3,1284.1,1507.9,2374.4,2174.6,(NA)
1000,Alabama,9,      Support activities for mining,120.9,132.7,96.6,60.7,86,102.9,95.4,86.4,84.9,107.8,116.1,(NA)
1000,Alabama,10,    Utilities,5731.1,5908.2,6027.4,6236.4,6156.8,6208.6,6549.1,6612,7462.9,8534,8708.4,8417.3
1000,Alabama,11,    Construction,6953.6,7140.6,7495.1,8218.3,8824.8,9463.1,10608.3,11104.6,11849.6,13001.3,14197.5,15609.6
1000,Alabama,12,    Manufacturing,33514.7,32958.2,32998.5,33740,35501.4,37798.9,37956.4,35252.3,39672.2,44719.6,48208.6,50115.2
1000,Alabama,13,      Durable goods manufacturing,20369.1,20220.7,21115.5,21591.5,22815.6,24322.3,25392.9,23533.1,26107,28746.9,31816.2,33326.6
1000,Alabama,14,        Wood product manufacturing,1220.8,1139.6,1228.4,1374.5,1400,1545.5,1637.9,2147.8,3020.9,3305.1,3074.4,(NA)
1000,Alabama,15,        Nonmetallic mineral product manufacturing,774.9,797.8,881.6,877.1,968.2,931.1,1399.5,1437.4,1777.4,1945,2179.8,(NA)
1000,Alabama,16,        Primary metal manufacturing,3850.5,4072.6,3572.1,3334,3912.4,4502.6,4306.4,3984.5,5006.9,5183.5,5400.7,(NA)
1000,Alabama,17,        Fabricated metal product manufacturing,2319.2,2212.5,2318.8,2504.3,2493.7,2579.2,2762,2533.8,2589,3211.4,3520,(NA)
1000,Alabama,18,        Machinery manufacturing,1173.7,1006.5,1004.5,967,951.3,1011.5,945.2,840.7,987.6,1134,1330.6,(NA)
1000,Alabama,19,        Computer and electronic product manufacturing,883.9,1191.4,1013.4,965.1,1103.2,1130.3,1073.5,986.7,997.8,1068.5,1092.8,(NA)
1000,Alabama,20,"        Electrical equipment, appliance, and component manufacturing",733,662.4,734.3,658.7,664.1,698.8,672.5,783.2,784.7,955.4,1133,(NA)
1000,Alabama,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",5462.6,5324,5876.7,6362.5,6520.2,6648.9,7114.3,5487.6,5161.8,5836.3,6733.9,(NA)
1000,Alabama,22,        Other transportation equipment manufacturing,2828.2,2623.6,3153.8,3133.5,3434.2,3735.4,4063.2,3778.3,4273,4490.8,5661.7,(NA)
1000,Alabama,23,        Furniture and related product manufacturing,650.9,693.3,817.4,871.4,857.3,992.6,846.5,870,759,825,823.6,(NA)
1000,Alabama,24,        Miscellaneous manufacturing,471.3,497,514.7,543.5,510.9,546.4,571.9,683,748.9,791.7,865.7,(NA)
1000,Alabama,25,      Nondurable goods manufacturing,13145.7,12737.5,11883,12148.5,12685.8,13476.6,12563.5,11719.2,13565.3,15972.8,16392.4,16788.6
1000,Alabama,26,        Food and beverage and tobacco product manufacturing,2248,2297.2,2376.2,2477,2707.6,2655.6,2602.7,2649.7,3134.6,3147.1,3523.7,(NA)
1000,Alabama,27,        Textile mills and textile product mills,696.9,685.9,543.5,507.5,557.5,564.9,526.5,582.4,582.9,559.2,490.7,(NA)
1000,Alabama,28,"        Apparel, leather, and allied product manufacturing",245.3,191.9,183.3,105.9,92.7,89.3,94.4,112.2,109.5,121.3,125.3,(NA)
1000,Alabama,29,        Paper manufacturing,2730.7,2906.9,2790.8,2693.9,2887.8,3132,2753.4,2850.1,2910.4,3363.1,3652.8,(NA)
1000,Alabama,30,        Printing and related support activities,226.1,251.4,267.9,215.7,221.1,206,221.4,247.2,231.3,244.1,271.9,(NA)
1000,Alabama,31,        Petroleum and coal products manufacturing,2375.8,1456,1068.5,1011.1,1244.2,1795.7,1581,789.2,1534.5,2622.3,2295.7,(NA)
1000,Alabama,32,        Chemical manufacturing,3252.5,3612.8,2975.7,3363.8,3484.7,3390.7,3117.2,3127.1,3635.9,4260.1,4246.5,(NA)
1000,Alabama,33,        Plastics and rubber products manufacturing,1370.4,1335.5,1677,1773.6,1490.1,1642.4,1667,1361.2,1426.1,1655.5,1785.9,(NA)
1000,Alabama,34,    Wholesale trade,11093.4,11341.7,11614.3,12078.1,12582.8,13091.5,13760.4,14254.9,16059.1,17615.9,18228.9,19215.6
1000,Alabama,35,    Retail trade,13241.2,13480.4,14072.2,14923.1,15286.2,15798.3,16636.3,18078,20251.2,21133.5,22989.2,23723
1000,Alabama,36,    Transportation and warehousing,4877,5124.5,5402.9,5618.5,6050.6,6636.6,6558.3,6465.2,7811.6,8910.3,8854.6,8797.7
1000,Alabama,37,      Air transportation,132.9,148,188.3,180,177.1,215.1,210.9,105.4,141.6,223.7,247.5,(NA)
1000,Alabama,38,      Rail transportation,693.6,739.3,765.3,689,725.3,759,748.4,695.6,755.5,888.2,904.1,(NA)
1000,Alabama,39,      Water transportation,236.6,209.9,177.9,139.7,104.5,86.1,80.4,87.6,97.2,124,140.1,(NA)
1000,Alabama,40,      Truck transportation,1971.5,2160.4,2355.4,2484.8,2687.8,2965.7,2966.6,2898.5,3384.7,3857.4,3817,(NA)
1000,Alabama,41,      Transit and ground passenger transportation,101.1,106.5,103.4,99.5,94.8,91.8,96.4,70.8,82.8,98,116.3,(NA)
1000,Alabama,42,      Pipeline transportation,188.8,118.1,122.9,232.5,336.6,444.3,230.2,231,259.6,243.2,230.9,(NA)
1000,Alabama,43,      Other transportation and support activities,924,978.1,1046.2,1115.8,1241.5,1335.2,1443.1,1588.1,1841.8,2130.3,2021.2,(NA)
1000,Alabama,44,      Warehousing and storage,628.5,664.2,643.5,677.1,683,739.3,782.4,788.1,1248.5,1345.5,1377.5,(NA)
1000,Alabama,45,    Information,4374.3,4235.5,4405.8,4342.2,4381.3,4478.9,5021.3,4970,5469.3,5732.5,6233.7,6370.6
1000,Alabama,46,      Publishing industries (except Internet),934.8,869.6,847,828.5,826.4,870.5,1062.2,1040.3,1252.6,1295.7,1439,(NA)
1000,Alabama,47,      Motion picture and sound recording industries,79.3,97.8,113.6,105.7,118.7,116.4,171.6,113,176.5,175.4,256.5,(NA)
1000,Alabama,48,      Broadcasting (except Internet) and telecommunications,3032.7,2958.9,3129.8,3093,3092.6,3076.5,3302.3,3225.3,3345.2,3337.2,3320,(NA)
1000,Alabama,49,"      Data processing, hosting, and other information services",327.5,309.2,315.4,314.9,343.6,415.4,485.3,591.3,695,924.2,1218.1,(NA)
